Entity,Code,Year,Gini coefficient,990179-annotations,World regions according to OWID,time,time
Afghanistan,AFG,2023,,,Asia,2023,2023
Aland Islands,ALA,2023,,,Europe,2023,2023
Albania,ALB,2023,0.2941963,,Europe,2023,2020
Algeria,DZA,2023,,,Africa,2023,2023
American Samoa,ASM,2023,,,Oceania,2023,2023
Andorra,AND,2023,,,Europe,2023,2023
Angola,AGO,2023,0.51263994,,Africa,2023,2018
Anguilla,AIA,2023,,,North America,2023,2023
Antigua and Barbuda,ATG,2023,,,North America,2023,2023
Argentina,ARG,2023,,,South America,2023,2023
Armenia,ARM,2023,0.27945295,,Asia,2023,2022
Aruba,ABW,2023,,,North America,2023,2023
Australia,AUS,2023,0.34332561,,Oceania,2023,2018
Austria,AUT,2023,0.30701602,,Europe,2023,2021
Austria-Hungary,OWID_AUH,2023,,,Europe,2023,2023
Azerbaijan,AZE,2023,,,Asia,2023,2023
Bahamas,BHS,2023,,,North America,2023,2023
Bahrain,BHR,2023,,,Asia,2023,2023
Bangladesh,BGD,2023,0.33373156,,Asia,2023,2022
Barbados,BRB,2023,,,North America,2023,2023
Belarus,BLR,2023,0.24383356,,Europe,2023,2020
Belgium,BEL,2023,0.2657763,,Europe,2023,2021
Belize,BLZ,2023,,,North America,2023,2023
Benin,BEN,2023,0.34395808,,Africa,2023,2021
Bermuda,BMU,2023,,,North America,2023,2023
Bhutan,BTN,2023,0.2845992,,Asia,2023,2022
Bolivia,BOL,2023,0.40913323,,South America,2023,2021
Bonaire Sint Eustatius and Saba,BES,2023,,,North America,2023,2023
Bosnia and Herzegovina,BIH,2023,,,Europe,2023,2023
Botswana,BWA,2023,,,Africa,2023,2023
Brazil,BRA,2023,0.5201522,,South America,2023,2022
British Indian Ocean Territory,IOT,2023,,,Asia,2023,2023
British Virgin Islands,VGB,2023,,,North America,2023,2023
Brunei,BRN,2023,,,Asia,2023,2023
Bulgaria,BGR,2023,0.3900545,,Europe,2023,2021
Burkina Faso,BFA,2023,0.37391287,,Africa,2023,2021
Burundi,BDI,2023,0.37456092,,Africa,2023,2020
Cambodia,KHM,2023,,,Asia,2023,2023
Cameroon,CMR,2023,0.42176074,,Africa,2023,2021
Canada,CAN,2023,0.31749648,,North America,2023,2019
Cape Verde,CPV,2023,,,Africa,2023,2023
Cayman Islands,CYM,2023,,,North America,2023,2023
Central African Republic,CAF,2023,0.43027893,,Africa,2023,2021
Chad,TCD,2023,0.373575,,Africa,2023,2022
Chile,CHL,2023,0.4304274,,South America,2023,2022
China,CHN,2023,0.35743752,,Asia,2023,2021
Christmas Island,CXR,2023,,,Asia,2023,2023
Cocos Islands,CCK,2023,,,Asia,2023,2023
Colombia,COL,2023,0.5481926,,South America,2023,2022
Comoros,COM,2023,,,Africa,2023,2023
Congo,COG,2023,,,Africa,2023,2023
Cook Islands,COK,2023,,,Oceania,2023,2023
Costa Rica,CRI,2023,0.46729344,,North America,2023,2023
Cote d'Ivoire,CIV,2023,0.35275364,,Africa,2023,2021
Croatia,HRV,2023,0.28895962,,Europe,2023,2021
Cuba,CUB,2023,,,North America,2023,2023
Curacao,CUW,2023,,,North America,2023,2023
Cyprus,CYP,2023,0.3125177,,Europe,2023,2021
Czechia,CZE,2023,0.26202103,,Europe,2023,2021
Czechoslovakia,OWID_CZS,2023,,,Europe,2023,2023
Democratic Republic of Congo,COD,2023,0.44674513,,Africa,2023,2020
Democratic Republic of Vietnam,,2023,,,Asia,2023,2023
Denmark,DNK,2023,0.28323486,,Europe,2023,2021
Djibouti,DJI,2023,,,Africa,2023,2023
Dominica,DMA,2023,,,North America,2023,2023
Dominican Republic,DOM,2023,0.36979377,,North America,2023,2022
Duchy of Modena and Reggio,,2023,,,Europe,2023,2023
Duchy of Parma and Piacenza,,2023,,,Europe,2023,2023
East Germany,OWID_GDR,2023,,,Europe,2023,2023
East Timor,TLS,2023,,,Asia,2023,2023
Ecuador,ECU,2023,0.44579506,,South America,2023,2023
Egypt,EGY,2023,0.31893092,,Africa,2023,2019
El Salvador,SLV,2023,0.38753173,,North America,2023,2022
Equatorial Guinea,GNQ,2023,,,Africa,2023,2023
Eritrea,ERI,2023,,,Africa,2023,2023
Estonia,EST,2023,0.31834,,Europe,2023,2021
Eswatini,SWZ,2023,,,Africa,2023,2023
Ethiopia,ETH,2023,,,Africa,2023,2023
Ethiopia (former),OWID_ERE,2023,,,Africa,2023,2023
Falkland Islands,FLK,2023,,,South America,2023,2023
Faroe Islands,FRO,2023,,,Europe,2023,2023
Federal Republic of Central America,,2023,,,North America,2023,2023
Fiji,FJI,2023,0.30706868,,Oceania,2023,2019
Finland,FIN,2023,0.27708507,,Europe,2023,2021
France,FRA,2023,0.31500953,,Europe,2023,2021
French Guiana,GUF,2023,,,South America,2023,2023
French Polynesia,PYF,2023,,,Oceania,2023,2023
Gabon,GAB,2023,,,Africa,2023,2023
Gambia,GMB,2023,0.38757205,,Africa,2023,2020
Georgia,GEO,2023,0.3350009,,Asia,2023,2022
Germany,DEU,2023,0.3243345,,Europe,2023,2020
Ghana,GHA,2023,,,Africa,2023,2023
Gibraltar,GIB,2023,,,Europe,2023,2023
Grand Duchy of Baden,,2023,,,Europe,2023,2023
Grand Duchy of Tuscany,,2023,,,Europe,2023,2023
Great Colombia,,2023,,,South America,2023,2023
Greece,GRC,2023,0.32939574,,Europe,2023,2021
Greenland,GRL,2023,,,North America,2023,2023
Grenada,GRD,2023,0.4381641,,North America,2023,2018
Guadeloupe,GLP,2023,,,North America,2023,2023
Guam,GUM,2023,,,Oceania,2023,2023
Guatemala,GTM,2023,,,North America,2023,2023
Guernsey,GGY,2023,,,Europe,2023,2023
Guinea,GIN,2023,0.29591954,,Africa,2023,2018
Guinea-Bissau,GNB,2023,0.33435068,,Africa,2023,2021
Guyana,GUY,2023,,,South America,2023,2023
Haiti,HTI,2023,,,North America,2023,2023
Honduras,HND,2023,0.48162824,,North America,2023,2019
Hong Kong,HKG,2023,,,Asia,2023,2023
Hungary,HUN,2023,0.2917205,,Europe,2023,2021
Iceland,ISL,2023,,,Europe,2023,2023
India,IND,2023,0.3277978,,Asia,2023,2021
Indonesia,IDN,2023,0.3605703,,Asia,2023,2023
Iran,IRN,2023,0.34803438,,Asia,2023,2022
Iraq,IRQ,2023,,,Asia,2023,2023
Ireland,IRL,2023,0.30119276,,Europe,2023,2021
Isle of Man,IMN,2023,,,Europe,2023,2023
Israel,ISR,2023,0.3789385,,Asia,2023,2021
Italy,ITA,2023,0.3484458,,Europe,2023,2021
Jamaica,JAM,2023,0.4021027,,North America,2023,2021
Japan,JPN,2023,,,Asia,2023,2023
Jersey,JEY,2023,,,Europe,2023,2023
Jordan,JOR,2023,,,Asia,2023,2023
Kazakhstan,KAZ,2023,0.29191533,,Asia,2023,2021
Kenya,KEN,2023,0.3870143,,Africa,2023,2021
Kingdom of Bavaria,,2023,,,Europe,2023,2023
Kingdom of Sardinia,,2023,,,Europe,2023,2023
Kingdom of Saxony,,2023,,,Europe,2023,2023
Kingdom of Wurttemberg,,2023,,,Europe,2023,2023
Kingdom of the Two Sicilies,,2023,,,Europe,2023,2023
Kiribati,KIR,2023,0.27832702,,Oceania,2023,2019
Korea (former),OWID_KRU,2023,,,Asia,2023,2023
Kosovo,OWID_KOS,2023,,,Europe,2023,2023
Kuwait,KWT,2023,,,Asia,2023,2023
Kyrgyzstan,KGZ,2023,0.26352528,,Asia,2023,2022
Laos,LAO,2023,0.38802433,,Asia,2023,2018
Latvia,LVA,2023,0.3425585,,Europe,2023,2021
Lebanon,LBN,2023,,,Asia,2023,2023
Lesotho,LSO,2023,,,Africa,2023,2023
Liberia,LBR,2023,,,Africa,2023,2023
Libya,LBY,2023,,,Africa,2023,2023
Liechtenstein,LIE,2023,,,Europe,2023,2023
Lithuania,LTU,2023,0.36656412,,Europe,2023,2021
Luxembourg,LUX,2023,0.3273477,,Europe,2023,2021
Macao,MAC,2023,,,Asia,2023,2023
Madagascar,MDG,2023,,,Africa,2023,2023
Malawi,MWI,2023,0.38542363,,Africa,2023,2019
Malaysia,MYS,2023,0.40668428,,Asia,2023,2021
Maldives,MDV,2023,0.2928509,,Asia,2023,2019
Mali,MLI,2023,0.35653594,,Africa,2023,2021
Malta,MLT,2023,0.3140378,,Europe,2023,2020
Marshall Islands,MHL,2023,0.35482943,,Oceania,2023,2019
Martinique,MTQ,2023,,,North America,2023,2023
Mauritania,MRT,2023,0.31996742,,Africa,2023,2019
Mauritius,MUS,2023,,,Africa,2023,2023
Mayotte,MYT,2023,,,Africa,2023,2023
Mexico,MEX,2023,0.4345403,,North America,2023,2022
Micronesia (country),FSM,2023,,,Oceania,2023,2023
Moldova,MDA,2023,0.25731638,,Europe,2023,2021
Monaco,MCO,2023,,,Europe,2023,2023
Mongolia,MNG,2023,0.31416476,,Asia,2023,2022
Montenegro,MNE,2023,0.34297183,,Europe,2023,2021
Montserrat,MSR,2023,,,North America,2023,2023
Morocco,MAR,2023,,,Africa,2023,2023
Mozambique,MOZ,2023,0.50274074,,Africa,2023,2019
Myanmar,MMR,2023,,,Asia,2023,2023
Namibia,NAM,2023,,,Africa,2023,2023
Nauru,NRU,2023,,,Oceania,2023,2023
Nepal,NPL,2023,0.30020264,,Asia,2023,2022
Netherlands,NLD,2023,0.2574387,,Europe,2023,2021
Netherlands Antilles,ANT,2023,,,North America,2023,2023
New Caledonia,NCL,2023,,,Oceania,2023,2023
New Zealand,NZL,2023,,,Oceania,2023,2023
Nicaragua,NIC,2023,,,North America,2023,2023
Niger,NER,2023,0.32862565,,Africa,2023,2021
Nigeria,NGA,2023,0.35127744,,Africa,2023,2018
Niue,NIU,2023,,,Oceania,2023,2023
Norfolk Island,NFK,2023,,,Oceania,2023,2023
North Korea,PRK,2023,,,Asia,2023,2023
North Macedonia,MKD,2023,0.33505824,,Europe,2023,2019
Northern Mariana Islands,MNP,2023,,,Oceania,2023,2023
Norway,NOR,2023,0.2774182,,Europe,2023,2019
Oman,OMN,2023,,,Asia,2023,2023
Orange Free State,,2023,,,Africa,2023,2023
Pakistan,PAK,2023,0.29589266,,Asia,2023,2018
Pakistan (former),,2023,,,Asia,2023,2023
Palau,PLW,2023,,,Oceania,2023,2023
Palestine,PSE,2023,,,Asia,2023,2023
Panama,PAN,2023,0.48875833,,North America,2023,2023
Papua New Guinea,PNG,2023,,,Oceania,2023,2023
Paraguay,PRY,2023,0.45108196,,South America,2023,2022
Peru,PER,2023,0.40349188,,South America,2023,2022
Philippines,PHL,2023,0.37268466,,Asia,2023,2021
Pitcairn,PCN,2023,,,Oceania,2023,2023
Poland,POL,2023,0.28479505,,Europe,2023,2021
Portugal,PRT,2023,0.3459202,,Europe,2023,2021
Puerto Rico,PRI,2023,,,North America,2023,2023
Qatar,QAT,2023,,,Asia,2023,2023
Republic of Vietnam,OWID_RVN,2023,,,Asia,2023,2023
Reunion,REU,2023,,,Africa,2023,2023
Romania,ROU,2023,0.3385264,,Europe,2023,2021
Russia,RUS,2023,0.36068243,,Europe,2023,2020
Rwanda,RWA,2023,,,Africa,2023,2023
Saint Barthelemy,BLM,2023,,,North America,2023,2023
Saint Helena,SHN,2023,,,Africa,2023,2023
Saint Kitts and Nevis,KNA,2023,,,North America,2023,2023
Saint Lucia,LCA,2023,,,North America,2023,2023
Saint Martin (French part),MAF,2023,,,North America,2023,2023
Saint Pierre and Miquelon,SPM,2023,,,North America,2023,2023
Saint Vincent and the Grenadines,VCT,2023,,,North America,2023,2023
Samoa,WSM,2023,,,Oceania,2023,2023
San Marino,SMR,2023,,,Europe,2023,2023
Sao Tome and Principe,STP,2023,,,Africa,2023,2023
Saudi Arabia,SAU,2023,,,Asia,2023,2023
Senegal,SEN,2023,0.3615772,,Africa,2023,2021
Serbia,SRB,2023,0.3312897,,Europe,2023,2021
Serbia and Montenegro,OWID_SRM,2023,,,Europe,2023,2023
Seychelles,SYC,2023,0.3212532,,Africa,2023,2018
Sierra Leone,SLE,2023,0.35690176,,Africa,2023,2018
Singapore,SGP,2023,,,Asia,2023,2023
Sint Maarten (Dutch part),SXM,2023,,,North America,2023,2023
Slovakia,SVK,2023,0.2411022,,Europe,2023,2021
Slovenia,SVN,2023,0.2428228,,Europe,2023,2021
Solomon Islands,SLB,2023,,,Oceania,2023,2023
Somalia,SOM,2023,,,Africa,2023,2023
South Africa,ZAF,2023,,,Africa,2023,2023
South Georgia and the South Sandwich Islands,SGS,2023,,,South America,2023,2023
South Korea,KOR,2023,0.32906574,,Asia,2023,2021
South Sudan,SSD,2023,,,Africa,2023,2023
Spain,ESP,2023,0.3388591,,Europe,2023,2021
Sri Lanka,LKA,2023,0.37663776,,Asia,2023,2019
Sudan,SDN,2023,,,Africa,2023,2023
Suriname,SUR,2023,0.39179897,,South America,2023,2022
Sweden,SWE,2023,0.29765385,,Europe,2023,2021
Switzerland,CHE,2023,0.33737928,,Europe,2023,2020
Syria,SYR,2023,0.26628006,,Asia,2023,2022
Taiwan,TWN,2023,0.31566375,,Asia,2023,2021
Tajikistan,TJK,2023,,,Asia,2023,2023
Tanzania,TZA,2023,0.4049123,,Africa,2023,2018
Thailand,THA,2023,0.34923872,,Asia,2023,2021
Togo,TGO,2023,0.37858006,,Africa,2023,2021
Tokelau,TKL,2023,,,Oceania,2023,2023
Tonga,TON,2023,0.27095765,,Oceania,2023,2021
Trinidad and Tobago,TTO,2023,,,North America,2023,2023
Tunisia,TUN,2023,0.33716425,,Africa,2023,2021
Turkey,TUR,2023,0.44364843,,Asia,2023,2021
Turkmenistan,TKM,2023,,,Asia,2023,2023
Turks and Caicos Islands,TCA,2023,,,North America,2023,2023
Tuvalu,TUV,2023,,,Oceania,2023,2023
USSR,OWID_USS,2023,,,Europe,2023,2023
Uganda,UGA,2023,0.42702642,,Africa,2023,2019
Ukraine,UKR,2023,0.25627363,,Europe,2023,2020
United Arab Emirates,ARE,2023,0.26399004,,Asia,2023,2018
United Kingdom,GBR,2023,0.32414576,,Europe,2023,2021
United States,USA,2023,0.41334125,,North America,2023,2022
United States Virgin Islands,VIR,2023,,,North America,2023,2023
Uruguay,URY,2023,0.40551677,,South America,2023,2022
Uzbekistan,UZB,2023,0.31184828,,Asia,2023,2022
Vanuatu,VUT,2023,0.32317576,,Oceania,2023,2019
Vatican,VAT,2023,,,Europe,2023,2023
Venezuela,VEN,2023,,,South America,2023,2023
Vietnam,VNM,2023,0.36093006,,Asia,2023,2022
Wallis and Futuna,WLF,2023,,,Oceania,2023,2023
West Germany,OWID_GFR,2023,,,Europe,2023,2023
Western Sahara,ESH,2023,,,Africa,2023,2023
Yemen,YEM,2023,,,Asia,2023,2023
Yemen Arab Republic,OWID_YAR,2023,,,Asia,2023,2023
Yemen People's Republic,OWID_YPR,2023,,,Asia,2023,2023
Yugoslavia,OWID_YGS,2023,,,Europe,2023,2023
Zambia,ZMB,2023,0.51483124,,Africa,2023,2022
Zimbabwe,ZWE,2023,0.5025645,,Africa,2023,2019